adoptedtrees,uniqueadoptedtrees,uniqueusers,treeswatered,uniquetreeswatered,uniquewateringusers,totalwateramount,datestamp
4581,4343,2068,22871,5870,1949,680800,2021-07-09
4749,4504,2163,24292,6086,2020,725660,2021-08-01
4889,4625,2248,25488,6240,2068,765030,2021-09-01
4943,4678,2285,25932,6286,2086,778680,2021-10-01
4954,4687,2292,26076,6299,2091,782665,2021-11-01
4965,4696,2297,26102,6301,2092,783525,2021-12-01
4970,4700,2299,26107,6302,2093,783730,2022-01-01
4970,4700,2298,26114,6302,2093,784055,2022-02-01
4990,4719,2303,26121,6303,2094,784260,2022-03-01
5208,4911,2445,27101,6540,2209,809160,2022-04-01
5138,4989,2492,27368,6540,2223,815535,2022-04-21
5418,5255,2651,28223,6758,2313,843618,2022-05-01
5894,5706,2932,31170,7325,2574,960795,2022-06-01
6220,6020,3139,34753,7929,2780,1127861,2022-07-01
6735,6487,3401,38700,8602,3015,1313638,2022-08-01
7198,6920,3658,43902,9332,3275,1567311,2022-09-01
7233,6952,3680,44645,9398,3292,1602865,2022-10-01
7243,6962,3686,44786,9390,3295,1609597,2022-11-01
7251,6971,3688,44876,9391,3295,1611675,2022-12-01
7251,6971,3688,44876,9391,3295,1611675,2023-01-01
7251,6971,3688,44876,9391,3295,1611675,2023-02-01
7263,6984,3694,44896,9391,3295,1612146,2023-03-01
7262,6983,3695,44905,9392,3296,1612434,2023-04-01
7836,7509,4091,51229,10224,3677,1977870,2024-05-10
7917,7592,4150,51830,10309,3708,2017016,2024-06-01
8013,7684,4203,52350,10393,3742,2041442,2024-07-01
8079,7745,4238,52817,10465,3775,2059210,2024-08-01
8116,7783,4262,53773,10570,3799,2098070,2024-09-01
8167,7829,4273,54457,10633,3819,2127366,2024-10-01
